Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,,
"As to affluence being the cure for crime, Bernie Madoff.",01 Health and Safety,Protection,affluence,,cure,affluence,Wealth,cure,Medicine,2668429,,
"Re: The Liberal Media Attacks!........ State Schools?!?! Oh excuse me I forgot that bureaucracy cures all ills and soon it will be doing exactly that with Universal Healthcare....I LOVE going to Court, I LOVE going to the Post Office, I LOVE going to the DMV, I LOVE going to the IRS, and soon thanks to Obama and co. I can get the same attitude while I am sick and in dire need of medical attention.",01 Health and Safety,Protection,bureaucracy,,cures,bureaucracy,Bureaucracy,cures,Medicine,2377337,,
"After all, gun control cures cancer and makes every day sunny.",01 Health and Safety,Protection,gun control,,cures,gun control,Control of Guns,cures,Medicine,3123497,,
There is going to be pressure put on this Committee to see that our Constitution cures these conditions.,01 Health and Safety,Protection,Constitution,,cures,Constitution,Government,cures,Medicine,761514,,
I did the  money cures that he would win big jackpot in bingo as he love to play it!,01 Health and Safety,Protection,money,,cures,money,Wealth,cures,Medicine,1997525,,
Orville also wrote his wife that he hoped hostilities between nations cease forever and democracy heals the mental scars of war.,01 Health and Safety,Protection,democracy,,heals,democracy,Democracy,heals,Medicine,156264,,
"We've been lulled into complacency by the notion that affluence breeds democracy, and democracy heals all rifts.",01 Health and Safety,Protection,democracy,,heals,democracy,Democracy,heals,Medicine,3118233,,
It's more important for everyone to stick to your moronic leftwing script where government heals all our boo-boos and all the capitalist villains are sent scurrying.,01 Health and Safety,Protection,government,,heals,government,Government,heals,Medicine,3120271,,
This is a long way from the understanding of politics that used to dominate Chinese leaders' thinking â€“ the belief that wealth heals all wounds; that the Party could afford to ignore all criticism as long as it could provide prosperity.,01 Health and Safety,Protection,wealth,,heals,wealth,Wealth,heals,Medicine,3122920,,
Just because a kid's stupid and irresponsible enough to steal a gun doesn't make law abiding gun owners forced to swallow your gun control pill.Ã¯»ØŸ,01 Health and Safety,Protection,gun control,,pill,gun control,Control of Guns,pill,Medicine,3123500,,
"If they could ever make a gun pill , all pregnant women should take it so that they can conceive a self armed baby.",01 Health and Safety,Protection,gun,,pill,gun,Guns,pill,Medicine,3124030,,
"As government relief proved to be increasingly inadequate and inappropriate, private charity provided a vital life-line for the starving Irish poor.",01 Health and Safety,Protection,government,,relief,government,Government,relief,Medicine,761966,,
The 2ND AMENDMENT relief should never be sought: it is an avenue when all law and other means of recourse fails us.,01 Health and Safety,Protection,2ND AMENDMENT,,relief,2ND AMENDMENT,Gun Rights,relief,Medicine,3123759,,
"That's because higher taxes relieve the pressure to solve the spending problem, making the later solution even more expensive for taxpayers.",01 Health and Safety,Protection,taxes,,relieve,taxes,Taxation,relieve,Medicine,3121696,,
"To steal the recent rhetoric of insane ultraconservative Sharron Angle, I think we need a Second Amendment remedy.",01 Health and Safety,Protection,Second Amendment,[protection] remedy,remedy,Second Amendment,Gun Rights,remedy,Medicine,2378610,,
"The projected U.S. ""misery index"" in 2012 at the end of President Obama's first term â€“ which Hanke says is ""already baked in the cake"" -  is projected to be the worst since the presidency of Richard Nixon, and ""can be laid squarely at the feet of President Obama's own policy errors and the notion that a big interventionist government alleviates misery.""",01 Health and Safety,Protection,government,,alleviates,government,Government,alleviates,Medicine/Physical Burden,1973676,,
It is a fallacy to assume that taxation alleviates the problems of the middle class.,01 Health and Safety,Protection,taxation,,alleviates,taxation,Taxation,alleviates,Medicine/Physical Burden,159532,,
I came back to this haven of taxation because I actually believe that I got something for my increased tax burden.,01 Health and Safety,Protection,taxation,,haven,taxation,Taxation,haven,Natural Physical Force/Physical Harm/Protection,158616,,
"But see Harvey P. Dale, Foreign Charities, 48 TAX LAW. 655, 660â€“61 (1995) (arguing that none of the tax benefits conferred to charities was ever predicated on a theory of government burden relief).",01 Health and Safety,Protection,government,,relief,government,Bureaucracy/Government,relief,Physical Burden,2672211,,
"Heck, you might even get some gun control relief down the line...",01 Health and Safety,Protection,gun control,,relief,gun control,Control of Guns,relief,Physical Burden,2378652,,
"And because the deductions are made before tax, employees get the tax relief straight away.",01 Health and Safety,Protection,tax,,relief,tax,Taxation,relief,Physical Burden,2097277,,
Riley said accommodations taxes relieve local taxpayers of paying the costs of accommodating visitors.,01 Health and Safety,Protection,taxes,,relieve,taxes,Taxation,relieve,Physical Burden,158693,,
How could taxes relieve our most pressing problems?,01 Health and Safety,Protection,taxes,,relieve,taxes,Taxation,relieve,Physical Burden,1973718,,
"Maybe taxes relieve us of paying tolls on every road, but they are an inconvenience.",01 Health and Safety,Protection,taxes,,relieve,taxes,Taxation,relieve,Physical Burden,1973719,,
"While it is true that wealth is a blessing from God, poverty should not be seen conversely as God's disfavor because, in a sense, poverty relieves the individual from tremendous responsibility.",01 Health and Safety,Protection,poverty,,relieves,poverty,Poverty,relieves,Physical Burden,1973425,,
"So taxation relieves the deficit, and only makes insignificant interest payments on the debt owed to the Federal Reserve.",01 Health and Safety,Protection,taxation,,relieves,taxation,Taxation,relieves,Physical Burden,158601,,
These cowards have zero education about what this nation was founded or what democracy is let alone what it means to fight to protect the freedoms that a true democracy covets.,01 Health and Safety,Protection,freedoms,,protect,freedoms,Democracy,protect,Physical Harm,155879,,
"Over the course of weeks, Emerald editorials went from praising the IFC as a haven of democracy to a waste of student time and money.",01 Health and Safety,Protection,democracy,,haven,democracy,Democracy,haven,Physical Location/Protection/Natural Physical Force,155306,,
The Senate is a bulwark against an avalanche of really extreme legislation.,01 Health and Safety,Protection,Senate,,bulwark,Senate,Government,bulwark,Protection,1971149,,
"The 2011 Civic Mission of Schools report, ""The Guardian of Democracy,"" raises major concern surrounding diminished civic learning in the United States and outlines six proven practices that can help restore the civic mission of schools.",01 Health and Safety,Protection,Democracy,,Guardian,Democracy,Democracy,Guardian,Protection,3118384,,
"We will not partake in an election to choose a new oppressor, a new custodian of capital, a new guardian of poverty.",01 Health and Safety,Protection,poverty,,guardian,poverty,Poverty,guardian,Protection,3121114,,
"So that from this it may appear how much he sins in the Church, who, preferring himself and his children to Christ, preserves his wealth, and does not share an abundant estate with the poverty of the needy.",01 Health and Safety,Protection,wealth,,preserves,wealth,Wealth,preserves,Protection,135214,,
"In the face of continuing regional instability, an organized international effort to promote and protect democracy continues.",01 Health and Safety,Protection,democracy,,protect,democracy,Democracy,protect,Protection,1996947,,
"This resolution expresses the sense of the House that the President, without undue delay, should transmit to Congress for its consideration proposed legislation, consistent with United States law regarding protection of human rights, to assist the Government of Colombia protect its democracy from United States-designated foreign terrorist organizations and the scourge of illicit narcotics.",01 Health and Safety,Protection,democracy,,protect,democracy,Democracy,protect,Protection,2005807,,
The purpose of the NRA is to preserve and protect Gun owners and promote the shooting sports.,01 Health and Safety,Protection,Gun owners,,protect,Gun owners,Gun Rights,protect,Protection,2729137,,
"Dudley claimed to be at the United Nations for the Arms Trade Treaty conference, yet nobody saw him in the building, but they did see Alan Gottlieb there, fighting to protect Americans' gun rights.",01 Health and Safety,Protection,gun rights,,protect,gun rights,Gun Rights,protect,Protection,2865555,,
Protect the guns?,01 Health and Safety,Protection,guns,,protect,guns,Guns,Protect,Protection,2145319,,
When the crunch comes people who protect guns will not fight because a gun is not worth your life.,01 Health and Safety,Protection,guns,,protect,guns,Guns,protect,Protection,2156099,,
DeFazio Fights for Common Sense Reforms to Protect Taxpayers and the Environment from Hardrock Mining Giveaways,01 Health and Safety,Protection,taxpayers,,protect,Taxpayers,Taxation,Protect,Protection,2659812,,
"If one has ""constitutionally protected firearms"" nobody is coming for them as they are indeed constitutionally protected.",01 Health and Safety,Protection,firearms,,protected,firearms,Guns,protected,Protection,2664440,,
Protecting American Democracy,01 Health and Safety,Protection,Democracy,,Protecting,Democracy,Democracy,Protecting,Protection,2399743,,
Protecting Taxpayers,01 Health and Safety,Protection,Taxpayers,,Protecting,Taxpayers,Taxation,Protecting,Protection,2397214,,
"Election protection is, unfortunately, a necessary aspect of voting because in 2008, U.S. voters are still faced with a number of impediments to casting their ballots for candidates:",01 Health and Safety,Protection,Election,,protection,Election,Elections,protection,Protection,2269885,,
Anyone can call their personal insanity a religion in order to try to get government protection.,01 Health and Safety,Protection,government,,protection,government,Government,protection,Protection,2457555,,
"When you go to the other first-world democracies, you find out that they are quite free...and you find out that no, firearms don't secure a person's freedom.",01 Health and Safety,Protection,firearms,,secure,firearms,Guns,secure,Protection,2671489,,
The opposition attempts to obscure the blame by hiding behind the faceless shield of bureaucracy.,01 Health and Safety,Protection,bureaucracy,,shield,bureaucracy,Bureaucracy,shield,Protection,2377429,,
"That there are now 38 RTC states without such horrors does not deter the gun control addict, for theirs is not a crusade based upon logic or statistical reality.",01 Health and Safety,Threat,gun control,[threat] addict,addict,gun control,Control of Guns,addict,Addiction,2376903,,
"The same government is now addicted to the tax revenue collected from real killer drugs, alcohol and cigarettes.",01 Health and Safety,Threat,"the tax revenue collected from real killer drugs, alcohol and cigarettes.",is addicted to [threat],addicted,government,Government,addicted,Addiction,153080,,
"After the recent article on the addiction of gun control, a reader left this rebuttal: Odd.",01 Health and Safety,Threat,gun control,,addiction,gun control,Control of Guns,addiction,Addiction,2376902,,
"Comment pages: « Previous 1 2 Goodbye Hillary and the Clinton lying machine, but for God's sake don't drop out of your life long addiction of campaigning for ultimate power.",01 Health and Safety,Threat,campaigning,,addiction,campaigning,Elections,addiction,Addiction,3118479,,
"In the past month or two, I've noticed a new addiction arise, one that's more powerful and widespread than ever, election addiction.",01 Health and Safety,Threat,election,,addiction,election,Elections,addiction,Addiction,1805670,,
It feeds off the election addiction of other people.,01 Health and Safety,Threat,election,,addiction,election,Elections,addiction,Addiction,1805674,,
Because the â€˜fed' is funding the spending addiction of the government.,01 Health and Safety,Threat,government,,addiction,government,Government,addiction,Addiction,761719,,
"Prohibition didn't end alcohol addiction in the 1920s, and gun laws won't end gun addiction in our time.",01 Health and Safety,Threat,gun,[threat] addiction,addiction,gun,Guns,addiction,Addiction,2376904,,
"In all actuality nothing is going to help Detroit, because you cannot help those who truly don't want to be helped, just like with any other addiction, yes addiction of poverty which it seems has taken a choke hold on Detroit's population, the addicted parties need to help themselves before anyone can truly help.",01 Health and Safety,Threat,poverty,,addiction,poverty,Poverty,addiction,Addiction,159496,,
"NJSBA President Kevin E. Ciak discusses possible solutions to New Jerseyï¿_s property tax woes, including the encouragement of shared services, the removal of financial obstacles to voluntary regionalization, and most important, ending the stateï¿_s property tax addiction to fund public education.",01 Health and Safety,Threat,property tax,,addiction,property tax,Taxation,addiction,Addiction,2377711,,
"Well, other than feeding the city's sales tax addiction what do we get as a city for its citizens?",01 Health and Safety,Threat,sales tax,,addiction,sales tax,Taxation,addiction,Addiction,2377708,,
"For this situation, I think the most important thing to the people of New York, is that the legislature get off the addiction of taxes, said Paterson.",01 Health and Safety,Threat,taxes,,addiction,taxes,Taxation,addiction,Addiction,2377627,,
"The addiction of wealth is just as serious as cocaine or gluttony, just more civilized",01 Health and Safety,Threat,wealth,,addiction,wealth,Wealth,addiction,Addiction,2377734,,
"Gun control addicts don't foresee that if firearms are completely banned, only criminals will have them.",01 Health and Safety,Threat,Gun control,,addicts,Gun control,Control of Guns,addicts,Addiction,2144956,,
Gun addicts increasingly realize that society is rejecting them.,01 Health and Safety,Threat,Gun,,addicts,Gun,Guns,addicts,Addiction,2376901,,
...dying from a stray bullet or an overdose of poverty will still be easy...,01 Health and Safety,Threat,poverty,overdose of [threat],overdose,poverty,Poverty,overdose,Addiction,164376,,
"As the government overdoses on power, it reacts, takes over, advancing to levels of control that we would have resisted not too long ago.",01 Health and Safety,Threat,power,overdose on [threat],overdose,government,Government,overdoses,Addiction,152809,,
This does not permit an escape of taxation because the reserve is not an asset but a debt.,01 Health and Safety,Threat,taxation,,escape,taxation,Taxation,escape,Confinement,158935,,
Supporters of stricter gun control argue that broad gunrights inhibit the government from fulfilling that responsibility...,01 Health and Safety,Threat,gunrights,,inhibit,gunrights,Gun Rights,inhibit,Confinement,2378668,,
"In an uncertain environment such as Obama has brought us, the additional taxes can be very inhibiting - particularly for those businesses that would otherwise be expanding and hiring.",01 Health and Safety,Threat,taxes,,inhibiting,taxes,Taxation,inhibiting,Confinement,53561,,
"According to Banderas, poverty restrains people from achieving many objectives in life.",01 Health and Safety,Threat,poverty,,restrains,poverty,Poverty,restrains,Confinement,158512,,
"History has demonstrated that citizens in most places most of the time are generally averse to conflicts with long-term costs, and that democracy restrains aggressive rulers.",01 Health and Safety,Threat,democracy,,restrains,democracy,Democracy,restrains,Confinement/Physical Harm,1971835,,
Constitution restrains the Feds,01 Health and Safety,Threat,Constitution,,restrains,Constitution,Government,restrains,Confinement/Physical Harm,1973595,,
"Live Simply - Invest In What MattersThe reality is, wealth can corrupt and poverty can corrupt.",01 Health and Safety,Threat,wealth,,corrupt,wealth,Wealth,corrupt,Contamination,2925057,,
"Who spends more time defending the role of money in politics, free-market-loving libertarians or do-gooder leftists who think that money corrupts?",01 Health and Safety,Threat,Money,,Corrupts,money,Wealth,corrupts,Contamination/Crime,126859,,
"It is in this way, no less than by its direct interference, that aggregated wealth corrupts government, and helps to make politics a trade.",01 Health and Safety,Threat,wealth,,corrupts,wealth,Wealth,corrupts,Contamination/Crime,2510759,,
"As can be seen by the horrendous event in Virginia, ""gun control kills"".",01 Health and Safety,Threat,gun control,,kills,gun control,Control of Guns,kills,Crime,2377036,,
"For those without privilege, the assault of hunger and the search for a quiet place to sleep take numbing precedence over the celebration of embodiment.",01 Health and Safety,Threat,hunger,,assault,hunger,Poverty,assault,Crime/Physical Harm,1600299,,
"The death tax kills jobs, said AGC President Terry Deeny.",01 Health and Safety,Threat,death tax,,kills,death tax,Taxation,kills,Crime/Physical Harm,159394,,
"The whole point of the story is to illustrate how gun control cripples the law abiding citizen. he wasn't showing off or anything, as 2 guns is NOT a 'whole arsenal'.",01 Health and Safety,Threat,gun control,[threat] cripples,cripples,gun control,Control of Guns,cripples,Disease,2377068,,
Some anonymous gun-rights activists commissioned a couple of roadside billboards in Greeley to make a dramatic point about the current epidemic of gun control fever brought to its ultimate extreme.,01 Health and Safety,Threat,gun control,[threat] fever,fever,gun control,Control of Guns,fever,Disease,2377067,,
"Gun control handicaps the would-be heroes who are upstanding lawful citizens, and has less of an effect on the would-be villains, because villains don't follow laws.",01 Health and Safety,Threat,Gun control,[threat] handicaps,handicaps,Gun control,Control of Guns,handicaps,Disease,2377098,,
"Democracy is an infection that can take hold in the most historically unlikely of hosts including Japan , Korea, and well.. even Germany.",01 Health and Safety,Threat,Democracy,,infection,Democracy,Democracy,infection,Disease,164723,,
"One result was that many projects became directly orientated towards poverty relief or towards certain target groups such as women, the poorest etc.",01 Health and Safety,Threat,poverty,,relief,poverty,Poverty,relief,Disease,2235690,,
"Just like Obama exemption ultra-mega-billionaire heirs to WalMart from ObamaCare, just like tens of millions and billions in charity to mega corporations, Just like Obama cheering GE for paying ZERO taxes, ObamaCare is for property tax relief to the super rich to shift it instead to blue collar and middle class white collar workers.",01 Health and Safety,Threat,property tax,,relief,property tax,Taxation,relief,Disease,2166248,,
"If facilitated to grow in a strategic manner, tourism could also play a leading role in wealth creation as well as in poverty alleviation, Nhema said.",01 Health and Safety,Threat,poverty,,alleviation,poverty,Poverty,alleviation,Disease/Medicine,58534,,
Poverty Alleviation,01 Health and Safety,Threat,poverty,,alleviation,Poverty,Poverty,Alleviation,Disease/Medicine,2646956,,
Entrepreneurs worldwide are leading successful for - profit ventures which contribute to poverty alleviation in their communities.,01 Health and Safety,Threat,poverty,,alleviation,poverty,Poverty,alleviation,Disease/Medicine/Physical Burden,1973416,,
"As a force for poverty relief, Wal-Mart's $200 billion-plus assistance to consumers may rival many federal programs.",01 Health and Safety,Threat,poverty,,relief,poverty,Poverty,relief,Disease/Physical Burden,56472,,
"That led to Kaine proposals on property tax relief, on spending more money on education, and to respond to their complaints about growth and traffic.",01 Health and Safety,Threat,property tax,,relief,property tax,Taxation,relief,Disease/Physical Burden,56948,,
Two educational income tax credits can reduce your or your parents' federal taxes.,01 Health and Safety,Threat,federal taxes,,reduce,federal taxes,Taxation,reduce,Downward Movement,2668434,,
"Generally what you tax you get less of (or less reporting of), so the Speckel tax would presumably reduce financial transactions and hence the velocity of money.",01 Health and Safety,Threat,tax,,reduce,tax,Taxation,reduce,Downward Movement,2671912,,
"Some argue that investment tax breaks reduce double taxation, since profits are taxed at both the corporate level and at the individual level when distributed to shareholders as capital gains or dividends.",01 Health and Safety,Threat,tax breaks,,reduce,tax breaks,Taxation,reduce,Downward Movement,2662575,,
"Taxes don't reduce deficits, taxes and spending dance around zero to produce a revenue or a deficit.",01 Health and Safety,Threat,Taxes,,reduce,Taxes,Taxation,reduce,Downward Movement,2902163,,
"Poverty has been substantially reduced over the past 15 years, and a strong social safety net has been put into place.",01 Health and Safety,Threat,Poverty,,reduced,Poverty,Poverty,reduced,Downward Movement,2664578,,
